gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	verbatimScientificName	verbatimScientificNameAuthorship	countryCode	locality	stateProvince	occurrenceStatus	individualCount	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue
4967690499	8e52f35a-2522-4865-8361-5c249310a7cf	BG21_UrbStC_03052023_CUHOR_M	Animalia	Arthropoda	Insecta	Diptera	Culicidae	Culex	Culex hortensis		SPECIES	Culex hortensis Ficalbi, 1889	Culex hortensis Ficalbi, 1889		FR		Occitanie	ABSENT	0	3b5161b7-9831-4444-9822-a60df4df107d	43.617	3.873	100.0						2023-05-02T08:30/2023-05-03T08:30		5	2023	1653124	1653124	HUMAN_OBSERVATION	Université de Montpellier | Institut de Recherche pour le Développement				Colombine Bartholomée;Coralie Grail		CC_BY_NC_4_0		Colombine Bartholomée;Coralie Grail;Mathilde Mercat			2025-11-25T05:13:12.345Z		OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT
4967690498	8e52f35a-2522-4865-8361-5c249310a7cf	BG01_PaAig_26072023_CULAN_F	Animalia	Arthropoda	Insecta	Diptera	Culicidae	Culiseta	Culiseta annulata		SPECIES	Culiseta annulata (Schrank, 1776)	Culiseta annulata (Schrank, 1776)		FR		Occitanie	ABSENT	0	3b5161b7-9831-4444-9822-a60df4df107d	43.629	3.874	100.0						2023-07-25T07:30/2023-07-26T07:30		7	2023	1649565	1649565	HUMAN_OBSERVATION	Université de Montpellier | Institut de Recherche pour le Développement				Colombine Bartholomée;Coralie Grail		CC_BY_NC_4_0		Colombine Bartholomée;Coralie Grail;Mathilde Mercat			2025-11-25T05:13:12.343Z		OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT
4967690497	8e52f35a-2522-4865-8361-5c249310a7cf	BG03_PaJdP_28062023_CULAN_F	Animalia	Arthropoda	Insecta	Diptera	Culicidae	Culiseta	Culiseta annulata		SPECIES	Culiseta annulata (Schrank, 1776)	Culiseta annulata (Schrank, 1776)		FR		Occitanie	ABSENT	0	3b5161b7-9831-4444-9822-a60df4df107d	43.614	3.871	100.0						2023-06-27T09:34/2023-06-28T09:34		6	2023	1649565	1649565	HUMAN_OBSERVATION	Université de Montpellier | Institut de Recherche pour le Développement				Colombine Bartholomée;Coralie Grail		CC_BY_NC_4_0		Colombine Bartholomée;Coralie Grail;Mathilde Mercat			2025-11-25T05:13:12.343Z		OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT
4967690496	8e52f35a-2522-4865-8361-5c249310a7cf	BG22_UrbBB_24082023_CULLA_F	Animalia	Arthropoda	Insecta	Diptera	Culicidae	Culiseta	Culiseta longiareolata		SPECIES	Culiseta longiareolata (Macquart, 1838)	Culiseta longiareolata (Macquart, 1838)		FR		Occitanie	ABSENT	0	3b5161b7-9831-4444-9822-a60df4df107d	43.613	3.874	100.0						2023-08-23T08:17/2023-08-24T08:17		8	2023	1649571	1649571	HUMAN_OBSERVATION	Université de Montpellier | Institut de Recherche pour le Développement				Colombine Bartholomée;Coralie Grail		CC_BY_NC_4_0		Colombine Bartholomée;Coralie Grail;Mathilde Mercat			2025-11-25T05:13:12.342Z		OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT
4967690495	8e52f35a-2522-4865-8361-5c249310a7cf	BG21_UrbStC_29062023_ALBO_F	Animalia	Arthropoda	Insecta	Diptera	Culicidae	Aedes	Aedes albopictus		SPECIES	Aedes albopictus (Skuse, 1894)	Aedes albopictus (Skuse, 1895)		FR		Occitanie	PRESENT	22	3b5161b7-9831-4444-9822-a60df4df107d	43.617	3.873	100.0						2023-06-28T08:00/2023-06-29T08:00		6	2023	1651430	1651430	HUMAN_OBSERVATION	Université de Montpellier | Institut de Recherche pour le Développement				Colombine Bartholomée;Coralie Grail		CC_BY_NC_4_0		Colombine Bartholomée;Coralie Grail;Mathilde Mercat			2025-11-25T05:13:12.343Z		OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT
4967690494	8e52f35a-2522-4865-8361-5c249310a7cf	BG21_UrbStC_26072023_CUPIP_M	Animalia	Arthropoda	Insecta	Diptera	Culicidae	Culex	Culex pipiens		SPECIES	Culex pipiens Linnaeus, 1758	Culex pipiens Linnaeus, 1758		FR		Occitanie	ABSENT	0	3b5161b7-9831-4444-9822-a60df4df107d	43.617	3.873	100.0						2023-07-25T08:05/2023-07-26T08:05		7	2023	1652991	1652991	HUMAN_OBSERVATION	Université de Montpellier | Institut de Recherche pour le Développement				Colombine Bartholomée;Coralie Grail		CC_BY_NC_4_0		Colombine Bartholomée;Coralie Grail;Mathilde Mercat			2025-11-25T05:13:12.343Z		OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT
4967690493	8e52f35a-2522-4865-8361-5c249310a7cf	BG04_PaJdP_20042023_CULAN_F	Animalia	Arthropoda	Insecta	Diptera	Culicidae	Culiseta	Culiseta annulata		SPECIES	Culiseta annulata (Schrank, 1776)	Culiseta annulata (Schrank, 1776)		FR		Occitanie	ABSENT	0	3b5161b7-9831-4444-9822-a60df4df107d	43.615	3.871	100.0						2023-04-19T10:00/2023-04-20T10:00		4	2023	1649565	1649565	HUMAN_OBSERVATION	Université de Montpellier | Institut de Recherche pour le Développement				Colombine Bartholomée;Coralie Grail		CC_BY_NC_4_0		Colombine Bartholomée;Coralie Grail;Mathilde Mercat			2025-11-25T05:13:12.343Z		OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT
4967690492	8e52f35a-2522-4865-8361-5c249310a7cf	BG02_PaAig_27042023_CULAN_M	Animalia	Arthropoda	Insecta	Diptera	Culicidae	Culiseta	Culiseta annulata		SPECIES	Culiseta annulata (Schrank, 1776)	Culiseta annulata (Schrank, 1776)		FR		Occitanie	ABSENT	0	3b5161b7-9831-4444-9822-a60df4df107d	43.63	3.874	100.0						2023-04-26T10:00/2023-04-27T10:00		4	2023	1649565	1649565	HUMAN_OBSERVATION	Université de Montpellier | Institut de Recherche pour le Développement				Colombine Bartholomée;Coralie Grail		CC_BY_NC_4_0		Colombine Bartholomée;Coralie Grail;Mathilde Mercat			2025-11-25T05:13:12.343Z		OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT
4967690491	8e52f35a-2522-4865-8361-5c249310a7cf	BG01_PaAig_26072023_CULAN_M	Animalia	Arthropoda	Insecta	Diptera	Culicidae	Culiseta	Culiseta annulata		SPECIES	Culiseta annulata (Schrank, 1776)	Culiseta annulata (Schrank, 1776)		FR		Occitanie	ABSENT	0	3b5161b7-9831-4444-9822-a60df4df107d	43.629	3.874	100.0						2023-07-25T07:30/2023-07-26T07:30		7	2023	1649565	1649565	HUMAN_OBSERVATION	Université de Montpellier | Institut de Recherche pour le Développement				Colombine Bartholomée;Coralie Grail		CC_BY_NC_4_0		Colombine Bartholomée;Coralie Grail;Mathilde Mercat			2025-11-25T05:13:12.343Z		OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT
4967690490	8e52f35a-2522-4865-8361-5c249310a7cf	BG22_UrbBB_24082023_CULLA_M	Animalia	Arthropoda	Insecta	Diptera	Culicidae	Culiseta	Culiseta longiareolata		SPECIES	Culiseta longiareolata (Macquart, 1838)	Culiseta longiareolata (Macquart, 1838)		FR		Occitanie	ABSENT	0	3b5161b7-9831-4444-9822-a60df4df107d	43.613	3.874	100.0						2023-08-23T08:17/2023-08-24T08:17		8	2023	1649571	1649571	HUMAN_OBSERVATION	Université de Montpellier | Institut de Recherche pour le Développement				Colombine Bartholomée;Coralie Grail		CC_BY_NC_4_0		Colombine Bartholomée;Coralie Grail;Mathilde Mercat			2025-11-25T05:13:12.342Z		OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT
4967690489	8e52f35a-2522-4865-8361-5c249310a7cf	BG02_PaAig_27042023_CULAN_F	Animalia	Arthropoda	Insecta	Diptera	Culicidae	Culiseta	Culiseta annulata		SPECIES	Culiseta annulata (Schrank, 1776)	Culiseta annulata (Schrank, 1776)		FR		Occitanie	ABSENT	0	3b5161b7-9831-4444-9822-a60df4df107d	43.63	3.874	100.0						2023-04-26T10:00/2023-04-27T10:00		4	2023	1649565	1649565	HUMAN_OBSERVATION	Université de Montpellier | Institut de Recherche pour le Développement				Colombine Bartholomée;Coralie Grail		CC_BY_NC_4_0		Colombine Bartholomée;Coralie Grail;Mathilde Mercat			2025-11-25T05:13:12.342Z		OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT
4967690488	8e52f35a-2522-4865-8361-5c249310a7cf	BG04_PaJdP_20042023_CULAN_M	Animalia	Arthropoda	Insecta	Diptera	Culicidae	Culiseta	Culiseta annulata		SPECIES	Culiseta annulata (Schrank, 1776)	Culiseta annulata (Schrank, 1776)		FR		Occitanie	ABSENT	0	3b5161b7-9831-4444-9822-a60df4df107d	43.615	3.871	100.0						2023-04-19T10:00/2023-04-20T10:00		4	2023	1649565	1649565	HUMAN_OBSERVATION	Université de Montpellier | Institut de Recherche pour le Développement				Colombine Bartholomée;Coralie Grail		CC_BY_NC_4_0		Colombine Bartholomée;Coralie Grail;Mathilde Mercat			2025-11-25T05:13:12.344Z		OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT
4967690487	8e52f35a-2522-4865-8361-5c249310a7cf	BG01_PaAig_31052023_ALBO_F	Animalia	Arthropoda	Insecta	Diptera	Culicidae	Aedes	Aedes albopictus		SPECIES	Aedes albopictus (Skuse, 1894)	Aedes albopictus (Skuse, 1895)		FR		Occitanie	PRESENT	6	3b5161b7-9831-4444-9822-a60df4df107d	43.629	3.874	100.0						2023-05-30T14:10/2023-05-31T14:10		5	2023	1651430	1651430	HUMAN_OBSERVATION	Université de Montpellier | Institut de Recherche pour le Développement				Colombine Bartholomée;Coralie Grail		CC_BY_NC_4_0		Colombine Bartholomée;Coralie Grail;Mathilde Mercat			2025-11-25T05:13:12.343Z		OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT
